"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","umd_tree_cover_loss_from_fires__ha"
"BRN",2015,1761.04061905869598974,375.50867586825710506
"BTN",2015,746.52360821746741619,61.33215959737849305
"BWA",2015,0.0,0.0
"CAF",2015,27315.83103202538973954,314.05645482254926312
"CAN",2015,2733434.834259989777240462,1873974.654798015478655889
"CHE",2015,772.45878559303823700,0.53142353766710078
"CHL",2015,106109.010473426883947241,15426.683630413031909815
"CHN",2015,490493.17254957637057399,11530.94087119016673455
"CIV",2015,152453.51173208042267227,97.06699670287815416
"CMR",2015,78969.96060448898090296,116.11590729416715547
"COD",2015,928502.22906111409341090,13022.06194031539238302
"COG",2015,47823.04692185773520452,2382.12068890927328003
"COL",2015,140922.64836113448047532,7816.48896726774586546
"COM",2015,429.46171724415783930,3.08782805895128055
"CRI",2015,3301.72085913189469252,101.96737129220432375
"CUB",2015,6725.97820244533564775,1006.04129654485451069
"CUW",2015,0.9029118816775174,0.07525057089898003
"CYM",2015,0.07251709538845487,0.0
"CYP",2015,20.43445920637587728,6.72015496239800321
"CZE",2015,8047.207404884134540546,1.242116583378906265
"DEU",2015,12929.494030687680252898,6.992461848530815684
"DMA",2015,1.85563171132921026,0.0
"DNK",2015,2583.230425754637972558,1.579776212172308956
"DOM",2015,15090.99980299760288010,3188.60893785332799399
"DZA",2015,5705.423440179106002233,3127.273628446498305478
"ECU",2015,30121.21494786735807405,1767.33613225518895533
"EGY",2015,31.6431484988617595,1.31821876666883716
"ERI",2015,0.0,0.0
"ESP",2015,65413.694077449544614255,11459.981206181975252562
"EST",2015,25420.290749612848684919,25.645809844772136874
"ETH",2015,10276.47094659400762096,34.24041307704508944
"FIN",2015,172639.580317575077364009,604.664108748166265788
"FJI",2015,1838.35267913538385405,88.77446327042319322
"FRA",2015,37292.585590612518483686,436.248050774878325516
"GAB",2015,25472.55033900415836767,84.44111681953660569
"GBR",2015,23996.893671415256921364,132.420825860874583933
"GEO",2015,42.85062239549479077,0.40057102067708334
"GHA",2015,57390.60138504851456010,8.10728797813395203
"GIN",2015,161819.86557063464678411,103.72295978213079833
