"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"MDG",2020,241112.00477303664788009,128027745.628109621331990
"MEX",2020,299298.44958654712898967,131413311.4272737798577344
"MKD",2020,1856.13740564901924628,878788.4610791018127677
"MLI",2020,148.84741201595269241,57473.558400174861174
"MMR",2020,310005.38153156874044949,173605902.616694688791721
"MNE",2020,983.183855986670223464,542812.820041174924631
"MNG",2020,464.617516136349767586,173175.7937151301328925
"MOZ",2020,232523.84531724314427695,87019896.652043060910709
"MRT",2020,0.0,463.807283114073773
"MSR",2020,2.21254263953559047,1005.296229200176761
"MTQ",2020,65.09517640956979253,33447.971076961576277
"MWI",2020,16070.14046082542626722,6867151.570050056108407
"MYS",2020,268775.04833566062575254,130144264.135404788580050
"MYT",2020,166.78849063975102751,88267.382739253121359
"NAM",2020,1.46098344458441847,346.891974969248428
"NCL",2020,4065.97549624897256814,1340971.845091093233668
"NGA",2020,99199.51603081963916265,60291219.553491639851515
"NIC",2020,111296.12941590395262779,60111312.852625408412859
"NLD",2020,1921.808177094026148222,937146.407026384236037
"NOR",2020,68362.848221985161443843,19587954.2263884153826658
"NPL",2020,2232.81156351152801649,1244148.661034987906243
"NZL",2020,60924.632569294176996265,45414453.2283493502701484
"PAK",2020,66.93545053930771945,24752.420012394682160
"PAN",2020,27379.02438371941077032,16046863.489014624345408
"PER",2020,278604.09826143233036725,178523779.561424136312479
"PHL",2020,63727.29573765028899606,38981726.002340434067442
"PLW",2020,16.25437658344238506,10537.283017311789963
"PNG",2020,78439.73413638654232422,59460034.624521446098595
"POL",2020,74958.855156036366645893,32938218.7064682676832431
"PRI",2020,680.78000166393784645,358061.115544547388074
"PRK",2020,14775.417513406478577814,4361991.1585595325168595
"PRT",2020,62043.513095106767545549,22621372.342457292033636
"PRY",2020,243326.26433875730689566,69170793.108505019072707
"PSE",2020,0.26138486053819446,84.101909755101314
"ROU",2020,27445.451195268409473102,15394682.3582733332817915
"RUS",2020,5442086.246369266158013177,821908870.4678776078122425
"RWA",2020,3187.39401529724268240,2607036.278209027054704
"SDN",2020,66.80291179048830566,21448.306996799109596
"SEN",2020,758.45816100406521033,225621.090551792091775
"SGP",2020,165.12609479173388042,90595.260711360370683
"SLB",2020,14598.97770127088190526,11023280.411772013023595
"SLE",2020,154640.74448345093620457,80918308.145266670260710
"SLV",2020,2208.12560440713435495,1150670.380440745334875
